rmse	mae	mattcorr	auc	tp	fp	tn	fn	tpr	fpr	error	accuracy	sens	spec	precision	fdr	youden
0.058961209687231286	0.18211782935394086	-0.023619709476695151	0.43427678571428574	0	157	3043	35	0.0	0.0490625	0.059350850077279756	0.9406491499227202	0.0	0.9509375	0.0	1.0	-0.04906250000000001
1.0890545406433021	0.81733635820711104	-0.031175230309551598	0.29581250000000003	0	264	2936	35	0.0	0.0825	0.09242658423493044	0.9075734157650696	0.0	0.9175	0.0	1.0	-0.08250000000000002
0.88993460539955038	0.7014488385780514	-0.034530620177741445	0.29823660714285716	0	318	2882	35	0.0	0.099375	0.10911901081916538	0.8908809891808346	0.0	0.900625	0.0	1.0	-0.09937499999999999
0.087196455897318351	0.22379928599690863	-0.011849049273730622	0.3880223214285714	0	41	3159	35	0.0	0.0128125	0.02349304482225657	0.9765069551777434	0.0	0.9871875	0.0	1.0	-0.012812500000000004
0.24989141184912084	0.34649241049150015	-0.030397136710791514	0.3211741071428571	0	252	2948	35	0.0	0.07875	0.08871715610510046	0.9112828438948996	0.0	0.92125	0.0	1.0	-0.07874999999999999
0.1204666773741178	0.26338062843894788	0.00047739551517214521	0.41152232142857148	1	89	3111	34	0.02857142857142857	0.0278125	0.03802163833075734	0.9619783616692427	0.02857142857142857	0.9721875	0.011111111111111112	0.9888888888888889	0.0007589285714284522
0.11872154545230522	0.26682929522720261	-0.011552818520591075	0.47908482142857145	0	39	3161	35	0.0	0.0121875	0.02287480680061824	0.9771251931993817	0.0	0.9878125	0.0	1.0	-0.012187500000000018
0.34912755157797315	0.45804855332302924	-0.025904329460090313	0.43987053571428569	0	187	3013	35	0.0	0.0584375	0.06862442040185471	0.9313755795981453	0.0	0.9415625	0.0	1.0	-0.05843750000000003
0.20499178850204486	0.34845548185471398	-0.033558803873535693	0.25720535714285719	0	302	2898	35	0.0	0.094375	0.10417310664605874	0.8958268933539413	0.0	0.905625	0.0	1.0	-0.09437499999999999
0.53224083210681483	0.56834554825347539	-0.023461162297798384	0.38970089285714282	0	155	3045	35	0.0	0.0484375	0.05873261205564142	0.9412673879443586	0.0	0.9515625	0.0	1.0	-0.04843750000000002
0.45943703464858393	0.49759931443585842	-0.025236046258261226	0.42677232142857147	0	178	3022	35	0.0	0.055625	0.06584234930448223	0.9341576506955178	0.0	0.944375	0.0	1.0	-0.055625000000000036
